Bruno Guido,Fragments of Greenwich Village,6,,
Bruno Guido,Frank Harris: In Memorium Fragments From His New York Days,5,,
Bruno Guido,Greenwich Village,4,,
Bruno Guido,Sacred Band: A Litany Of Ingratitude,1,,
Buckley William F. Jr. host,Firing Line: The Hippies,6,,
Bukowski Charles,Absence Of The Hero: Uncollected Stories And Essays Volume 2: 1946-1992,6,,
Bukowski Charles,Beerspit Night and Cursing : The Correspondence of Charles Bukowski and Sheri Martinelli 1960-1967,7,,
Bukowski Charles,Betting on the Muse: Poems & Stories,5,,
Bukowski Charles,Between the earthquake the volcano and the leopard,6,,
Bukowski Charles,Bone Palace Ballet: New Poems,4,,
Bukowski Charles,Bring Me Your Love,10,,
Bukowski Charles,Burning In Water Drowning In Flame,7,,
Bukowski Charles,Captain is Out to Lunch and The Sailors Have Taken Over the Ship,6,,
Bukowski Charles,Charles Bukowski Uncensored,3,,
Bukowski Charles,Come On In!: New Poems,1,,
Bukowski Charles,Confession of a Coward,8,,
Bukowski Charles,Continual Condition: Poems,8,,
Bukowski Charles,Dangling in the Tournefortia,10,,
Bukowski Charles,Days Run Away Like Wild Horses Over the Hills,6,,
Bukowski Charles,Essential Bukowski: Poetry,9,,
Bukowski Charles,Factotum,7
,
Bukowski Charles,Factotum (French ,5,,
Bukowski Charles,Flash of Lightning Behind the Mountain,1,,
Bukowski Charles,Ham on Rye,10,,
Bukowski Charles,Hollywood,2,,
Bukowski Charles,Hostage,1,,
Bukowski Charles,Hot Water Music,6,,
Bukowski Charles,In The Morning And At Night And In Between,2,,
Bukowski Charles,Last Generation,2,,
Bukowski Charles,Last Night of the Earth Poems,8,,
Bukowski Charles,The Last Straw: Charles Bukowski Live,2,,
Bukowski Charles,Laughing Heart,3,,
Bukowski Charles,Living on Luck: Selected Letters: 1960s - 1970s Volume 2,2,,
Bukowski Charles,Love is a Dog from Hell,9,,
Bukowski Charles,Love Poem,8,,
Bukowski Charles,Love Poem To Marina,1,,
Bukowski Charles,Luck,4,,
Bukowski Charles,Mockingbird Wish Me Luck,7,,
Bukowski Charles,Most Beautiful Woman in Town & Other Stories,6,,
Bukowski Charles,The Movie: Barfly,2,,
Bukowski Charles,Movie Critics,3,,
Bukowski Charles,New Poems : Book Three,3,,
Bukowski Charles,New Poems: Book Two,6,,
Bukowski Charles,New War,9,,
Bukowski Charles,Night Torn with Mad Footsteps : New Poems,9,,
Bukowski Charles,Notes of a Dirty Old Man,1,,
Bukowski Charles,Now,1,,
Bukowski Charles,On Cats,5,,
Bukowski Charles,On Love,3,,
Bukowski Charles,On Writing,10,,
Bukowski Charles,One Tough Mother,2,,
Bukowski Charles,Open All Night: New Poems,8,,
Bukowski Charles,People Look Like Flowers At Last,9,,
Bukowski Charles,Pink Silks,8,,
Bukowski Charles,Pleasures of the Damned : Poems 1951-1993,1,,
Bukowski Charles,Play the Piano Drunk Like a Percussion Instrument Until the Fingers Begin to Bleed a Bit,2,,
Bukowski Charles,Popcorn in the Dark,7,,
Bukowski Charles,Portions From A Wine-Stained Notebook: Uncollected Stories And Essays 1944-1990,4,,
Bukowski Charles,Post Office,8,,
Bukowski Charles,Post Office (Italian language ,1,,
Bukowski Charles,Pulp,6,,
Bukowski Charles,Reach For The Sun : Selected Letters 1978-1994 Volume 3,3,,
Bukowski Charles,Roominghouse Madrigals : Early Selected Poems 1946-1966,1,,
Bukowski Charles,Screams from the Balcony : Selected Letters 1960-1970,3,,
Bukowski Charles,Selected Letters Volume 1 : 1958-1965,7,,
Bukowski Charles,Selected Letters Volume 2 : 1965-1970,5,,
Bukowski Charles,Selected Letters Volume 3 : 1971-1986,9,,
Bukowski Charles,Selected Letters Volume 4 : 1987-1994,5,,
Bukowski Charles,Septuagenarian Stew: Stories & Poems,4,,
Bukowski Charles,Shakespeare Never Did This,6,,
Bukowski Charles,Sifting Through the Madness for the Word the Line the Way: New Poems,1,,
Bukowski Charles,Singer,10,,
Bukowski Charles,Slouching Toward Nirvana: New Poems,7,,
Bukowski Charles,South Of No North,1,,
Bukowski Charles,Sunlight Here I Am: Interviews & Encounters 1963-1993,5,,
Bukowski Charles,Tales Of Ordinary Madness,2,,
Bukowski Charles,Theres No Business,4,,
Bukowski Charles,Those Marvelous Lunches,9,,
Bukowski Charles, To Lean Back Into It,6,,
Bukowski Charles,Underwater Poetry Festival,4,,
Bukowski Charles,War All The Time: Poems 1981-1984,1,,
Bukowski Charles,We Aint Got No Money Honey But We Got Rain,2,,
Bukowski Charles,What Matters Most Is How Well You Walk Through The Fire,10,,
Bukowski Charles,Women,4,,
Bulbul Films,Factotum,2,,
Burgess Gelett,Bayside Bohemia,5,,
Burgess Gelett ed,Lark,10,,
Burke Flannery,From Greenwich Village To Taos,5,,
Burleigh Robert,Hit The Road Jack,7,,
Burroughs William S.,Adding Machine (The): Selected Essays,5,,
Burroughs William S.,Burroughs File (The),8,,
Burroughs William S.,Burroughs: The Movie,9,,
Burroughs William S.,Call Me Burroughs,2,,
Burroughs William S.,Cat Inside,4,,
Burroughs William S.,Cities of the Red Night,5,,
Burroughs William S.,Conversations With William Burroughs,7,,
Burroughs William S.,Dead City Radio,9,,
Burroughs William S.,Everything lost : the Latin American notebook of William S. Burroughs,7,,
Burroughs William S.,Exterminator!,2,,
Burroughs William S.,Ghost of Chance,9,,
Burroughs William S.,Viking/Interzone,3,,
Odier Daniel,Job: Interviews with William S. Burroughs,10,,
Burroughs William S.,Junky,6,,
Burroughs William S.,Junky: Definitive Text Of Junk,3,,
Burroughs William S.,Junkys Christmas,7,,
Burroughs William S.,The last words of Dutch Schultz : a fiction in the form of a film script,4,,
Burroughs William S.,The last words of Dutch Schultz : a fiction in the form of a film script,4,,
Burroughs William S.,Last Words: The Final Journals Of William S. Burroughs,2,,
Burroughs William S.,Let Me Hang You,2,,
Burroughs William S.,Letters of William S. Burroughs: 1945-1959,10,,
Burroughs William S.,My Education: A Book of Dreams,7,,
Burroughs William S.,Naked Lunch,6,,
Burroughs William S.,Naked Lunch,3,,
Burroughs William S.,Nova Express,7,,
Burroughs William S.,Place of Dead Roads (The),7,,
Burroughs William S.,Queer,6,,
Burroughs William S.,Queer,5,,
Burroughs William S.,Roosevelt After Inauguration,7,,
Burroughs William S.,Rub Out The Words : The Letters Of William S. Burroughs 1959-1974,3,,
Burroughs William S.,Soft Machine,5,,
Burroughs William S. and Gysin Brion,Spoken Word,1,,
Burroughs Wiiliam S. introduction only,Strange Amazing And Mysterious Places,4,,
Burroughs William S.,Taking Shots: The Photography Of Williams S. Burroughs,10,,
Burroughs William S.,Ticket That Exploded,7,,
Burroughs William S.,Western Lands,4,,
Burroughs William S.,Western Lands,5,,
Burroughs William S.,Word Virus: The William S. Burroughs Reader,9,,
Burroughs William S. and Ginsberg Allen,Yage Letters (The),9,,
Burroughs William S.,You Cant Win,8,,
Burroughs William S. Jr.,Cursed From Birth : The Short Unhappy life of William S. Burroughs Jr.,6,,
Burroughs William S. Jr.,Speed/Kentucky Ham,4,,
C-SPAN,Writings of Jack Kerouac,6,,
Calhoun Ada,St. Marks Is Dead: The Many Lives Of Americas Hippest Street,6,,
Campbell James,Exiled in Paris,9,,
Campana Dino,Orphic Songs,1,,
Campbell James,This is the Beat Generation,9,,
Cannon Group,Barfly,7,,
Caponi Gena Dagel,Paul Bowles: Romantic Savage,4,,
Carco Francis,Last Bohemia: From Montmartre to the Quartier Latin,10,,
Carpenter Humphrey,Angry Young Men: A Literary Comedy of the 1950s,3,,
Carr Roy,The Hip: Hipsters Jazz And The Beat Generation,3,,
Carr Virgina Spencer,Paul Bowles : A Life,10,,
Carroll Jim,Basketball Diaries,9,,
Carroll Jim,Fear Of Dreaming: The Selected Poems Of Jim Carroll,10,,
Carroll Jim,Petting Zoo: A Novel,9,,
Cassady Carolyn,Heart Beat: My Life With Jack And Neal,3,,
Cassady Carolyn,Off the Road,4,,
Cassady Neal,Collected Letters 1944-1967,8,,
Cassady Neal,First Third (The),8,,
Cassady Neal,Grace Beats Karma: Letters from Prison 1,10,,
Caveney Graham,Gentleman Junkie: Life & Legacy of William S. Burroughs,4,,
Caveney Graham,Screaming With Joy: The Life of Allen Ginsberg,2,,
Caveney Graham,Priest They Called Him: Life & Legacy of William S. Burroughs,7,,
Castaneda Carlos,Teachings of Don Juan,10,,
Chandarlapaty Raj,Beat Generation and Counterculture : Paul Bowles William S. Burroughs Jack Kerouac,2,,
Chapin Anna Alice,Greenwich Village,3,,
Charlson David Jon,Charles Bukowski: Autobiographer Gender Critic Iconoclast,2,,
Charlson David,Charles Bukowski: Autobiographer Gender Critic Iconoclast,9,,
Author, Charters Ann ed.,4,,
Charters Ann,Beats & Company : A Portrait of a Literary Generation,2,,
Charters Ann,Bibliography of works by Jack Kerouac (Jean Louis Lebris De Kerouac) 1939-1975,3,,
Charters Ann & Samuel,Brother Souls: John Clellon Holmes Jack Kerouac And The Beat Generation,5,,
Charters Ann,Kerouac: A Biography,10,,
Charters Ann,Kerouac: A Biography,4,,
Charters Ann ed.,Jack Kerouac: Selected Letters 1940-1956,6,,
Charters Ann ed.,Jack Kerouac: Selected Letters 1957-1969,7,,
Charters Ann & Samuel ed.,Literature And Its Writers,10,,
Charters Ann ed.,Portable Beat Reader,2,,
Charters Samuel,Some Poems/Poets: Studies In American Underground Poetry Since 1945,1,,
Cheney Anne,Millay in Greenwich Village,7,,
Cherkovski Neeli,Ferlinghetti: A Biography,2,,
Cherkovski Neeli,Hank: The Life of Charles Bukowski,6,,
Cherry Red Records,Cool Scene: Twelve New Ways To Fly (Cool Scene At Cafe Bizarre),5,,
Cheuse Alan,Bohemians: John Reed and His Friends Who Shook the World,6,,
Christensen Mark,Acid Christ: Ken Kesey LSD And The Politics Of Ecstacy,1,,
Christopher Tom,Neal Cassady: A Biography,2,,
Christy Jim,Buk Book: Musings On Charles Bukowski,6,,
Christy Jim,Long Slow Death of Jack Kerouac,10,,
Churchill Allen,Improper Bohemians: a recreation of Gree...,5,,
Ciuraru Carmela editor,Beat Poets,9,,
Clark Joshua editor,French Quarter Fiction: The Newest Stories Of Americas Oldest Bohemia,3,,
Clark Joshua editor,French Quarter Fiction: The Newest Stories Of Americas Oldest Bohemia,2,,
Clark Tom,Edward Dorn: A World Of Difference,4,,
Clark Tom,Jack Kerouac: A Biography,1,,
Clark Tom,Jack Kerouac: A Biography,6,,
Clark Tom,Kerouacs Last Word: Jack Kerouac in Escapade,3,,
Clayton Douglas,Floyd Dell: The Life and Times of an American Rebel,5,,
Clébert Jean Paul,Paris Vagabond,4,,
Cline Lynn,Literary Pilgrims: The Santa Fe And Toas Writers Colonies 1917-1950,1,,
Collins Ronald K.L.,Mania: The Story Of The Outraged & Outrageous Lives That Launched A Cultural Revolution,8,,
Connelly Patrick J.,Ecopoetics Of Gary Snyder,8,,
Conners Peter,White Hand Society: The Psychedelic Partnership Of Timothy Leary & Allen Ginsberg,2,,
,,,,
Cook Bruce,Beat Generation: Tumultuous 50s movement,4,,
Cook Bruce,Beat Generation: Tumultuous 50s movement,1,,
Coolidge Clark,Now Its Jazz: Writings on Kerouac & The Sounds,8,,
Corso Gregory,Accidental Biography: The Selected Letters Of Gregory Corso,4,,
Corso Gregory,American Express,1,,
Corso Gregory,Elegiac Feelings American,8,,
Corso Gregory,Gasoline,9,,
Corso Gregory,Happy Birthday of Death,3,,
Corso Gregory,Herald of the Autochthonic Spirit,3,,
Corso Gregory,Long Live Man,5,,
Corso Gregory,Mindfield: New and Selected Poems,6,,
Corso Gregory,Sarpedon: A Play By Gergory Corso,5,,
Cottom Daniel,International Bohemia: Scenes Of Nineteenth-Century Life,2,,
Cottrell Robert C.,Sex Drugs And Rock N Roll: The Rise Of Americas 1960s Counterculture,1,,
Cowley Malcolm,Exiles Return,9,,
Cox Devon,Street Of Wonderful Possibilities: Whistler Wilde & Sargent In Tite Street,7,,
Cronenberg David,Naked Lunch,10,,
Cross Robert,Henry Miller: The Paris Years,3,,
Cusimano M. (Mick),Toasting Kerouac: Corporation for the Celebration of Jack Kerouac in Lowell presents Lawrence Ferlinghetti & Herbert Huncke to be held at Smith-Baker Center Lowell Saturday March 21 1987,5,,
Dale Rick,Beat Handbook : 100 Days of Kerouactions,6,,
Darnton Robert,Corpus of Clandestine Literature in France 1769-1789,9,,
Darnton Robert,Devil in the Holy Water or the Art of Slander from Louis XIV to Napolean,6,,
Darnton Robert,Forbidden Best-Sellers of Pre-Revolutionary France,10,,
Darnton Robert,Forbidden Best-Sellers of Pre-Revolutionary France,3,,
Darnton Robert,Literary Underground of the Old Regime,8,,
Darnton Robert,Poetry And The Police: Communication Networks In Eighteenth-Century Paris,9,,
Daugherty Francis Leo,Henry Miller And The Heterocosm: The General And Applied Literary Theory Of An Merican Anti-Romantic,9,,
Davis Stephen,William Burroughs/Local Stop On The Nova Express,4,,
De St. Jorre John,Venus Bound: The Erotic Voyage of the Olympia Press...,9,,
Dearborn Mary V.,Happiest Man Alive: Biography of Henry Miller,9,,
Dearborn Mary V.,Queen of Bohemia: The Life of Louise Bryant,1,,
Décharné Max,Straight From The Fridge Dad: A Dictionary Of Hipster Slang,2,,
Decker James M.,Spiral Form And Henry Millers Anecdotal Life,8,,
Dell Floyd,Floyd Dell: Essays from the Friday Literary Review 1909-1913,2,,
Dell Floyd,Homecoming: An Autobiography,10,,
Dell Floyd,Janet March,2,,
Dell Floyd,King Arthurs Socks And Other Village Plays,5,,
Dell Floyd,Love in Greenwich Village,4,,
Dell Floyd,Old Mans Folly (An),2,,
Dell Floyd,This Mad Ideal,4,,
Dell Floyd,Runaway: A Novel,9,,
Dell Floyd,Were You Ever a Child?,2,,
Di Prima Diane,Dinners and Nightmares,7,,
Di Prima Diane & Jones LeRoi,Floating Bear: A Newsletter Numbers 1-37,7,,
Di Prima Diane Introduction,Going Out For Coffee On A Windy Night,7,,
Di Prima Diane,Kerhonkson Journal 1966,10,,
Di Prima Diane,Memoirs of a Beatnik,4,,
Di Prima Diane,Poetry Deal,10,,
Di Prima Diane,Pieces of a Song,5,,
Di Prima Diane,Recollections of My Life as a Woman: The New York Years,8,,
Di Prima Diane,Revolutionary Letters,6,,
Dillon Millicent,A Little Original Sin: The Life And Work Of Jane Bowles,6,,
Dillon Millicent,You Are Not I: A Portrait Of Paul Bowles,5,,
DiSanto Ronald L. & Steele Thomas J.,Guidebook to Zen and the Art of Motorcycle Maintenance,7,,
Dittman Michael J.,Jack Kerouac : A Biography,2,,
Dodgson Rick,Its All Kind Of Magic: The Young Ken Kesey,2,,
Dorfner John J.,Kerouac: Visions of Lowell,5,,
Dorn Edward,By The Sound,3,,
Dorn Edward,Edward Dorn: Collected Poems,2,,
Dorn Edward,North Atlantic Turbine,1,,
Dostoevsky Fyodor,Notes From the Underground,2,,
Dowden George,Bibliography of the Works of Allen Ginsberg : October 1943 to July 1 1967,9,,
Drohajowska-Philp,Rebels In Paradise: The Los Angeles Art Scene And The 1960s,7,,
du Maurier Daphne ed.,Young George du Maurier: Letters 1860-1867,10,,
Du Maurier George,Trilby,10,,
Du Maurier George,Trilby,1,,
Duberman Martin,Visions of Kerouac,7,,
Dullaghan John dir.,Bukowski Born Into This,6,,
Dunn Patrick W.,Allen Ginsbergs Oral Poetry: Performance Spontaneity And The Embodiment Of The Breath,4,,
Durrell Lawrence,Balthazar,6,,
Durrell Lawrence,Durrell-Miller Letters 1935-1980,6,,
Duxler Margot Beth,Seduction: A Portrait Of Anaïs Nin,7,,
Eastman Max,Art And The Life Of Action With Other Essays,3,,
Eastman Max,Enjoyment of Poetry,9,,
Eastman Max,Great Companions,10,,
Eastman Max,Literary Mind,4,,
Easton Malcolm,Artists and Writers in Paris: The Bohemian Idea 1805-1867,1,,
Edington Stephen D.,Beat Face of God : Beat Generation Writers as Spirit Guides,10,,
Eleveld Mark ed,Spoken Word Revolution : Slam Hip Hop and the Poetry of a New Generation,8,,
Elkholy Sharin N. ed.,Philosophy Of The Beats,6,,
Ellingham Lewis and Killian Kevin,Poet Be Like God: Jack Spicer And The San Francisco Renaissance,1,,
Enlightenment,Beat Generation Boxed,3,,
Evans Mike,Beats: From Kerouac to Kesey an Illustrated Journey Through the Beat Generation,1,,
Evans Oliver,Anaïs Nin,9,,
Everson William,Archetype West: The Pacific Coast As A Literary Region,2,,
Everson William,Crooked Lines Of God: Poems 1949-1954,10,,
Everson William,Engendering Flood: Book One of Dust Shall be the Serpents Fool (Cantos I-IV),2,,
Everson William,Man-Fate: The Swan Song Of Brother Antonius,6,,
Everson William,Man-Fate: The Swan Song Of Brother Antonius,10,,
Everson William,Prodigious Thrust,4,,
Everson William,River-Root: A Syzygy,5,,
Everson William,Residual Years,4,,
Everson William,Single Source: The Early Poems Of William Everson [1934-1940],5,,
Everson William,Veritable Years: Poems 1949-1966 Volume II Of The Collected Poems),10,,
Noyes: Paper,NULL,5,,
Everson William,William Everson: a collection of books & manuscripts,3,,
Faas Ekbert,Robert Creeley: A Biography,9,,
Fagen Donald,Eminent Hipsters,9,,
Falk Jane E.,The Beat Avant-Garde The 1950s And The Popularizing Of Zen Buddhism In The United States,8,,
Fariña Richard,Been Down So Long It Looks Like Up To Me,6,,
Fariña Richard and Fariña Mimi,Best Of Mimi & Richard Fariña,7,,
Fariña Richard,Long Time Coming And A Long Time Come,8,,
Federal Bureau Of Investigation,Henry Charles Bukowski File: 140-35907,1,,
Federal Bureau Of Investigation,Miller Henry File #14-HQ-2578,1,,
Feldman Gene ed.,The Beat Generation & The Angry Young Men,2,,
Felver Christopher,Beat,2,,
Felver Christopher,Ferlinghetti: A Rebirth Of Wonder,3,,
Felver Christopher,Ferlinghetti Portrait,2,,
Felver Christopher,Late Great Allen Ginsberg: a Photo Biography,9,,
Ferguson Robert,Henry Miller: A Life,7,,
Ferlinghetti Lawrence,After the Cries of the Birds,1,,
Ferlinghetti Lawrence,Americus Book I,10,,
Ferlinghetti Lawrence,Blasts Cries Laughter,3,,
Ferlinghetti Lawrence editor,City Lights Pocket Poets Anthology,5,,
Ferlinghetti Lawrence editor,City Lights Pocket Poets Anthology: 60th Anniversary ,6,,
Ferlinghetti Lawrence,Coney Island Of Lawrence Ferlinghetti,7,,
Ferlinghetti Lawrence,Coney Island of the Mind,8,,
Ferlinghetti Lawrence,Coney Island of the Mind,2,,
Ferlinghetti Lawrence,Coney Island of the Mind 50th Anniversary ,8,,
Ferlinghetti Lawrence,Cool Eye: Lawrence Ferlinghetti Talks To Alexis Lykiard,6,,
Ferlinghetti Lawrence,Endless Life: Selected Poems,9,,
Ferlinghetti Lawrence ed,Ends & Beginnings,3,,
Ferlinghetti Lawrence,European Poems & Translations: Over All Obscene Boundaries,4,,
Ferlinghetti Lawrence,Far Rockaway of the Heart,10,,
Ferlinghetti Lawrence,Her,4,,
Ferlinghetti Lawrence,How to Paint Sunlight: Lyric Poems & Others (1997-2000),1,,
Ferlinghetti Lawrence,Howl Of The Censor,5,,
Ferlinghetti Lawrence and Ginsberg Allen,I Greet You At The Beginning Of A Great Career: The Selected Correspondence Of Lawrence Ferlinghetti And Allen Ginsberg ,5,,
Ferlinghetti Lawrence,Inside the Trojan Horse,7,,
Ferlinghetti Lawrence,Landscapes of Living & Dying,8,,
Ferlinghetti Lawrence,Leaves Of Life, Fifty Drawings From The Model,4,
Ferlinghetti Lawrence,Life Studies Life Stories : Drawings,5,,
Ferlinghetti Lawrence and Peters Nancy J.,Literary San Francisco,10,,
Ferlinghetti Lawrence.,Love in the Days of Rage,5,,
Ferlinghetti Lawrence,Mexican night, travel journal by Ferlinghetti,1,
Ferlinghetti Lawrence,Moscow In The Wilderness Segovia In The Snow,10,,
Ferlinghetti Lawrence,Northwest Ecolog,1,,
Ferlinghetti Lawrence,One Thousand Fearful Words For Fidel Castro,6,,
Ferlinghetti Lawrence,Open Eye Open Heart,6,,
Ferlinghetti Lawrence,Over All Obscene Boundaries: European Poems & Translations,9,,
Ferlinghetti Lawrence,Pictures of the Gone World,1,,
